route_name,country,region,distance_km,elevation_gain,difficulty,rating,popularity_score
Tour du Mont Blanc,FranceItalySwitzerland,Alps,170,10000,5,5.0,95
GR20,France (Corsica),Corsica,180,11000,5,4.8,88
West Highland Way,Scotland,Highlands,154,3900,3,4.7,85
Laugavegur Trail,Iceland,Highlands,55,1700,3,4.9,90
Alta Via 1,Italy,Dolomites,120,7200,4,4.7,82
Kungsleden,Sweden,Lapland,440,9000,3,4.6,75
Camino de Santiago,Spain,Northern Spain,780,10000,3,4.8,100
Trolltunga,Norway,Hardangerfjord,28,1100,4,4.9,92
Preikestolen,Norway,Lysefjord,8,350,2,5.0,98
Adlerweg,Austria,Tyrol,413,31000,4,4.5,70
Walker's Haute Route,FranceSwitzerland,Alps,180,12000,5,4.8,80
Fisherman's Trail,Portugal,Algarve,226,2000,3,4.7,78
Mullerthal Trail,Luxembourg,Mullerthal,112,2500,2,4.6,65
Cinque Terre,Italy,Liguria,12,500,2,4.9,96
Hardergrat,Switzerland,Bernese Oberland,24,3000,5,4.8,72
Orla Perc,Poland,Tatra Mountains,5,1000,5,4.9,85
High Tatras Traverse,Slovakia,Tatra Mountains,50,3500,4,4.8,78
Retezat Mountains Loop,Romania,Carpathians,40,2800,4,4.7,60
Musala Hike,Bulgaria,Rila,15,1200,3,4.5,72
Olympus Summit,Greece,Mount Olympus,20,2100,4,4.8,88
Triglav Ascent,Slovenia,Julian Alps,14,1800,4,4.9,84
Durmitor Ring,Montenegro,Durmitor,45,2500,4,4.7,76
Peaks of the Balkans,AlbaniaKosovoMontenegro,Balkans,192,9500,4,4.8,74
Eifelsteig,Germany,Eifel,313,8000,3,4.4,68
Kerry Way,Ireland,County Kerry,214,5400,3,4.6,80
Pembrokeshire Coast Path,Wales,Coast,299,8500,3,4.7,77
South Downs Way,England,South England,160,4200,2,4.4,75
Pennine Way,England,North England,431,11000,4,4.5,79
GR10 Pyrenees,France,Pyrenees,866,48000,5,4.8,81
Carros de Foc,Spain,Pyrenees,55,3300,4,4.7,65
Cami de Cavalls,Spain (Menorca),Balearic Islands,185,3000,2,4.5,70
Rota Vicentina,Portugal,Alentejo,230,2500,3,4.6,75
Levada do Caldeirao Verde,Portugal (Madeira),Madeira,13,100,2,4.9,94
Pico del Teide,Spain (Tenerife),Canary Islands,18,1500,4,4.8,91
Samaria Gorge,Greece (Crete),Crete,16,1200,3,4.7,93
Vikos Gorge,Greece,Pindus,12,1000,3,4.7,82
Bobotov Kuk,Montenegro,Durmitor,10,1100,4,4.8,74
Seven Rila Lakes,Bulgaria,Rila,15,1000,2,4.8,86
Slovenian Mountain Trail,Slovenia,Julian Alps,599,45000,5,4.6,68
Via Alpina (Green),Switzerland,Alps,390,24000,4,4.7,77
Tour de Monte Rosa,SwitzerlandItaly,Alps,162,13000,5,4.8,79
Bernese Overland Trek,Switzerland,Alps,100,8000,4,4.9,83
Stubai High Trail,Austria,Tyrol,80,6000,4,4.8,75
Eagle Walk,Austria,Tyrol,413,31000,4,4.5,70
Berliner Hohenweg,Austria,Zillertal,85,6500,4,4.7,72
GR5 (Alpine section),France,Alps,660,30000,5,4.8,78
GR11 (Pyrenees),Spain,Pyrenees,820,44000,5,4.8,76
Glowny Szlak Beskidzki,Poland,Beskidy,496,14400,4,4.7,82
Tatranska Magistrala,Slovakia,Tatra Mountains,46,2800,3,4.8,80
Ruta Cares,Spain,Picos de Europa,12,400,2,4.9,90
